application_id,ai_decision,human_decision,human_rule_reasons
APP_0076,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0077,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0078,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0079,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0080,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0081,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0082,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0083,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0084,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0085,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0086,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0087,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0088,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0089,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0090,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0091,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0092,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0093,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0094,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0095,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0096,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0097,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0098,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0099,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0100,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0101,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0102,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0103,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0104,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0105,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0106,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0107,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0108,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0109,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0110,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0111,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0112,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0113,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0114,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0115,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0116,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0117,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0118,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0119,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0120,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0121,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0122,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0123,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0124,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0125,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0126,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0127,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0128,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0129,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0130,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0131,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0132,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0133,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0134,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0135,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0136,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0137,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0138,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0139,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0140,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0141,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0142,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0143,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0144,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0145,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0146,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0147,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0148,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0149,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0150,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0151,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0152,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0153,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0154,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0155,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0156,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0157,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0158,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0159,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0160,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0161,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0162,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0163,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0164,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0165,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0166,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0167,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0168,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0169,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0170,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0171,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0172,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0173,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0174,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0175,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0176,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0177,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0178,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0179,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0180,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0181,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0182,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0183,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0184,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0185,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0186,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0187,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0188,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0189,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0190,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0191,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0192,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0193,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0194,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0195,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0196,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0197,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0198,approved,approved,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0199,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
APP_0200,denied,denied,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}"
,,,
