application_id,top_feature,value,explanation
APP_0069,income,229.0669485175828,Top factor: income
APP_0070,loan_amount,407.0739736188469,Top factor: loan_amount
APP_0071,loan_amount,301.084446422787,Top factor: loan_amount
APP_0072,income,511.6217729713229,Top factor: income
APP_0073,income,401.6767529797588,Top factor: income
APP_0074,income,421.8048331798323,Top factor: income
APP_0075,income,538.8833943979804,Top factor: income
APP_0076,income,426.61221965861716,Top factor: income
APP_0077,income,473.21741419393356,Top factor: income
APP_0078,loan_amount,327.7864580188039,Top factor: loan_amount
APP_0079,income,599.2858793491641,Top factor: income
APP_0080,income,369.89053251424497,Top factor: income
APP_0081,loan_amount,353.01687660659417,Top factor: loan_amount
APP_0082,income,577.7347397739665,Top factor: income
APP_0083,income,532.8581974924066,Top factor: income
APP_0084,loan_amount,397.25174336275455,Top factor: loan_amount
APP_0085,income,224.08624070464822,Top factor: income
APP_0086,income,123.00341419342465,Top factor: income
APP_0087,loan_amount,278.99313599751554,Top factor: loan_amount
APP_0088,income,171.02710701612446,Top factor: income
APP_0089,income,518.7689974611292,Top factor: income
APP_0090,income,411.95288365974193,Top factor: income
APP_0091,income,672.8744689589503,Top factor: income
APP_0092,income,541.3007709005951,Top factor: income
APP_0093,income,462.6858626004666,Top factor: income
APP_0094,income,404.4042834487468,Top factor: income
APP_0095,loan_amount,301.9029656107947,Top factor: loan_amount
APP_0096,loan_amount,241.23240771245855,Top factor: loan_amount
APP_0097,income,465.40427089397303,Top factor: income
APP_0098,loan_amount,335.9672960734127,Top factor: loan_amount
APP_0099,loan_amount,187.7717847893391,Top factor: loan_amount
APP_0100,loan_amount,311.22015211258434,Top factor: loan_amount
APP_0101,income,618.1094884553738,Top factor: income
APP_0102,income,375.6785528572981,Top factor: income
APP_0103,income,518.5819928637571,Top factor: income
APP_0104,income,348.6723523441244,Top factor: income
APP_0105,income,212.7291322300996,Top factor: income
APP_0106,income,325.63429816543163,Top factor: income
APP_0107,loan_amount,374.4899438153917,Top factor: loan_amount
APP_0108,income,553.1732822898522,Top factor: income
APP_0109,income,218.66310738085772,Top factor: income
APP_0110,loan_amount,344.2265029864477,Top factor: loan_amount
APP_0111,income,672.7741250286531,Top factor: income
APP_0112,income,451.52488089877164,Top factor: income
APP_0113,income,375.46874282122207,Top factor: income
APP_0114,income,423.615585012923,Top factor: income
APP_0115,income,561.0594029936653,Top factor: income
APP_0116,income,259.11539455385844,Top factor: income
APP_0117,income,476.86628438655964,Top factor: income
APP_0118,income,611.5780108105732,Top factor: income
APP_0119,income,440.377582460299,Top factor: income
APP_0120,income,368.6134279468259,Top factor: income
APP_0121,loan_amount,388.45701591714,Top factor: loan_amount
APP_0122,loan_amount,380.097671018338,Top factor: loan_amount
APP_0123,income,653.3895021303271,Top factor: income
APP_0124,income,422.6167067976916,Top factor: income
APP_0125,income,285.829685451622,Top factor: income
APP_0126,income,352.5538380115304,Top factor: income
APP_0127,income,443.5749049665876,Top factor: income
APP_0128,income,420.5003620859685,Top factor: income
APP_0129,income,512.9900992935577,Top factor: income
APP_0130,income,260.8303635443927,Top factor: income
APP_0131,income,484.17770803503413,Top factor: income
APP_0132,income,366.41042256802785,Top factor: income
APP_0133,income,650.2925235543357,Top factor: income
APP_0134,loan_amount,285.7502731240471,Top factor: loan_amount
APP_0135,income,198.65361546204454,Top factor: income
APP_0136,income,377.233883776905,Top factor: income
APP_0137,income,403.85695291985286,Top factor: income
APP_0138,income,507.91816972580745,Top factor: income
APP_0139,income,344.380368780048,Top factor: income
APP_0140,income,634.9672687453062,Top factor: income
APP_0141,income,384.3674250034889,Top factor: income
APP_0142,income,187.76629902479652,Top factor: income
APP_0143,loan_amount,434.3811669549333,Top factor: loan_amount
APP_0144,income,668.9975443792852,Top factor: income
APP_0145,loan_amount,311.65988848486506,Top factor: loan_amount
APP_0146,income,654.4294301352255,Top factor: income
APP_0147,income,272.56604230142625,Top factor: income
APP_0148,income,167.28245398094194,Top factor: income
APP_0149,income,287.7499033904915,Top factor: income
APP_0150,income,464.48749225807575,Top factor: income
APP_0151,loan_amount,400.34731327059217,Top factor: loan_amount
APP_0152,income,561.9123264011916,Top factor: income
APP_0153,income,462.37114754635263,Top factor: income
APP_0154,income,342.5240060695495,Top factor: income
APP_0155,income,475.8491618203651,Top factor: income
APP_0156,income,667.8892000582749,Top factor: income
APP_0157,income,348.81374606408866,Top factor: income
APP_0158,income,201.50885638777444,Top factor: income
APP_0159,income,347.08509381033207,Top factor: income
APP_0160,income,593.0052615301065,Top factor: income
APP_0161,income,238.10246333207309,Top factor: income
APP_0162,income,655.1637652614916,Top factor: income
APP_0163,income,449.440463801234,Top factor: income
APP_0164,income,457.0027472754515,Top factor: income
APP_0165,income,294.7831006867782,Top factor: income
APP_0166,income,638.8122657107859,Top factor: income
APP_0167,loan_amount,284.2220803847349,Top factor: loan_amount
APP_0168,loan_amount,386.04499660779817,Top factor: loan_amount
APP_0169,income,352.5720823624935,Top factor: income
APP_0170,income,386.13712704691255,Top factor: income
APP_0171,income,384.344619564785,Top factor: income
APP_0172,loan_amount,388.80532195459006,Top factor: loan_amount
APP_0173,loan_amount,418.5071192981458,Top factor: loan_amount
APP_0174,loan_amount,419.80020546217924,Top factor: loan_amount
APP_0175,income,440.4049489867437,Top factor: income
APP_0176,income,314.067379654807,Top factor: income
APP_0177,income,436.59187963544946,Top factor: income
APP_0178,income,450.2432152436117,Top factor: income
APP_0179,income,514.262642773236,Top factor: income
APP_0180,income,425.90981214653664,Top factor: income
APP_0181,income,483.44337290876814,Top factor: income
APP_0182,income,448.7791060788205,Top factor: income
APP_0183,income,486.00214313134717,Top factor: income
APP_0184,income,465.59583657908587,Top factor: income
APP_0185,income,294.3087475617368,Top factor: income
APP_0186,loan_amount,390.24208435907167,Top factor: loan_amount
APP_0187,income,562.9704987570532,Top factor: income
APP_0188,income,309.41050907146797,Top factor: income
APP_0189,income,427.11393931010326,Top factor: income
APP_0190,loan_amount,428.7603782755826,Top factor: loan_amount
APP_0191,income,359.9929721167468,Top factor: income
APP_0192,income,416.00312957355686,Top factor: income
APP_0193,income,470.9368703235423,Top factor: income
APP_0194,income,414.133083599836,Top factor: income
APP_0195,income,319.6501510495249,Top factor: income
APP_0196,income,662.3657228041873,Top factor: income
APP_0197,income,406.3564290018017,Top factor: income
APP_0198,income,574.8658155850142,Top factor: income
APP_0199,income,534.0486413927508,Top factor: income
APP_0200,income,432.3409458610401,Top factor: income
