application_id,decision,top_feature,explanation,proposed_loan_option,proposed_consolidation_loan,rule_reasons
APP_0108,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0109,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0110,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0111,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0112,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0113,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0114,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0115,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0116,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0117,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0118,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0119,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0120,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0121,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0122,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0123,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0124,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0125,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0126,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0127,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0128,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0129,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0130,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0131,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0132,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0133,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0134,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0135,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0136,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0137,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0138,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0139,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0140,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0141,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0142,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0143,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0144,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0145,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0146,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0147,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0148,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0149,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0150,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0151,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0152,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0153,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0154,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0155,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0156,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0157,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0158,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0159,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0160,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0161,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0162,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0163,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0164,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0165,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0166,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0167,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0168,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0169,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0170,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0171,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0172,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0173,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0174,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0175,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0176,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0177,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0178,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0179,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0180,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0181,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0182,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0183,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0184,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0185,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0186,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0187,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0188,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0189,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0190,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0191,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0192,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0193,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0194,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0195,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0196,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0197,denied,credit_score,Decision driven mainly by credit_score.,,,
APP_0198,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0199,approved,credit_score,Decision driven mainly by credit_score.,,,
APP_0200,approved,credit_score,Decision driven mainly by credit_score.,,,
