application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_flagged,created_at,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months,score,decision,top_feature,explanation,rule_reasons,proposed_loan_option,proposed_consolidation_loan
APP_0011,24,146163,7,9105,36,105366,land,0,527,22530,189562,0.1541429773608905,0.0864130744262847,11.572322899504494,0.0017303740800314,2.318291750363401,False,:47:29,7,0.1541429773608905,25,0,2,9105,36,3.516098813220577e-37,denied,credit_score_vs_dti,Score=0.000 with DTI=0.15 and CS=527,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 22530.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 700.93, ""secured_by"": ""collateral""}"
APP_0012,25,40229,7,15109,36,148623,car,0,699,49930,85453,1.241144448034969,0.1016599045908096,9.836719835858773,0.0104326342795688,0.0,False,:47:29,7,1.241144448034969,9,0,0,15109,36,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=1.24 and CS=699,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 15109.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 470.06}",
APP_0013,40,62066,1,68246,12,163370,deposit,1,695,14323,93634,0.230770470144681,0.4177388749464381,2.393839932010632,0.0916309519896987,1.072182835594124,False,:47:29,1,0.230770470144681,17,2,0,68246,12,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.23 and CS=695,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 68246.0, ""term_months"": 12, ""apr"": 0.1, ""est_monthly"": 6255.88}",
APP_0014,60,88291,4,99914,12,92497,car,1,553,9629,131410,0.1090598135710309,1.0801863844232669,0.9257661588966418,0.0943036851544633,0.0,False,:47:29,4,0.1090598135710309,17,1,1,99914,12,1.3715560313998152e-21,denied,credit_score_vs_dti,Score=0.000 with DTI=0.11 and CS=553,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 9629.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 299.57, ""secured_by"": ""collateral""}"
APP_0015,26,140937,13,7276,12,132737,deposit,0,466,47295,84985,0.3355754698907999,0.0548151608067075,18.24312809235593,0.0043021586473587,1.8840119779420297,False,:47:29,13,0.3355754698907999,6,0,4,7276,12,1.6832623320563222e-57,denied,credit_score_vs_dti,Score=0.000 with DTI=0.34 and CS=466,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 47295.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 1471.4, ""secured_by"": ""collateral""}"
APP_0016,41,111782,14,68240,12,114195,deposit,0,662,7698,229793,0.0688661859691178,0.597574324620162,1.6734320046893072,0.0508728298491056,0.6270553110168393,False,:47:29,14,0.0688661859691178,5,1,0,68240,12,0.9999999999999918,approved,credit_score_vs_dti,Score=1.000 with DTI=0.07 and CS=662,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 68240.0, ""term_months"": 12, ""apr"": 0.1, ""est_monthly"": 6255.33}",
APP_0017,51,120773,4,17969,72,192612,land,0,662,1320,40106,0.010929595190978,0.093291176043029,10.719127386053165,0.0020664340907402,2.6903965906651006,False,:47:29,4,0.010929595190978,6,0,2,17969,72,0.9999999999998785,approved,credit_score_vs_dti,Score=1.000 with DTI=0.01 and CS=662,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 17969.0, ""term_months"": 72, ""apr"": 0.12, ""est_monthly"": 279.52}",
APP_0018,29,97639,12,66761,72,133587,land,0,629,21140,249717,0.2165118446522371,0.499756712853792,2.000973622324381,0.0094965752526984,0.784250976906715,False,:47:29,12,0.2165118446522371,20,0,1,66761,72,0.9763868189728366,approved,credit_score_vs_dti,Score=0.976 with DTI=0.22 and CS=629,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 66761.0, ""term_months"": 72, ""apr"": 0.1, ""est_monthly"": 1019.96}",
APP_0019,52,77129,18,64214,60,88034,car,0,340,20054,111072,0.2600059640342768,0.7294227230388176,1.3709471454822724,0.0138758875820441,0.2744986753154108,False,:47:29,18,0.2600059640342768,18,0,0,64214,60,3.2200076548367423e-99,denied,credit_score_vs_dti,Score=0.000 with DTI=0.26 and CS=340,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,
APP_0020,34,49971,6,13591,12,194204,deposit,0,560,30983,172754,0.620019611374585,0.0699831105435517,14.289161945403997,0.0226648122558869,1.0601645372515829,False,:47:29,6,0.620019611374585,28,0,3,13591,12,9.969038425129239e-28,denied,credit_score_vs_dti,Score=0.000 with DTI=0.62 and CS=560,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 30983.0, ""term_months"": 48, ""apr"": 0.14, ""est_monthly"": 735.85, ""secured_by"": ""collateral""}"
APP_0021,56,133039,10,69669,12,28592,land,0,637,43886,55749,0.3298731950781325,2.436660604364772,0.4103977378748021,0.0436394591023394,0.0,False,:47:29,10,0.3298731950781325,21,0,2,69669,12,0.9999999989079906,approved,credit_score_vs_dti,Score=1.000 with DTI=0.33 and CS=637,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 69669.0, ""term_months"": 12, ""apr"": 0.1, ""est_monthly"": 6386.33}",
APP_0022,46,125515,11,90218,24,197038,deposit,1,822,46645,121757,0.3716288889774101,0.457871070554916,2.1840209270876967,0.0299492756497364,0.744004545428103,False,:47:29,11,0.3716288889774101,7,0,0,90218,24,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.37 and CS=822,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 90218.0, ""term_months"": 24, ""apr"": 0.1, ""est_monthly"": 4134.99}",
APP_0023,45,28137,15,87027,48,37570,car,0,589,14481,228833,0.514660411557717,2.3163960606866567,0.4317051030140021,0.0644369513438591,0.0,False,:47:29,15,0.514660411557717,27,1,4,87027,48,1.7701947564897978e-12,denied,credit_score_vs_dti,Score=0.000 with DTI=0.51 and CS=589,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 14481.0, ""term_months"": 48, ""apr"": 0.14, ""est_monthly"": 343.92, ""secured_by"": ""collateral""}"
APP_0024,28,114425,10,7754,36,63339,deposit,0,488,49041,88502,0.4285864103124279,0.1224206255229776,8.168558163527447,0.0018823586531169,1.5043823418170683,False,:47:29,10,0.4285864103124279,28,0,3,7754,36,5.014879193811171e-50,denied,credit_score_vs_dti,Score=0.000 with DTI=0.43 and CS=488,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 49041.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 1525.72, ""secured_by"": ""collateral""}"
APP_0025,41,35548,22,28362,36,165722,car,0,605,31633,48360,0.8898672217846043,0.1711420330432883,5.843099922431216,0.0221625220353163,0.2738532919407219,False,:47:29,22,0.8898672217846043,21,0,2,28362,36,4.305907636431521e-09,denied,credit_score_vs_dti,Score=0.000 with DTI=0.89 and CS=605,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 31633.0, ""term_months"": 48, ""apr"": 0.14, ""est_monthly"": 751.28, ""secured_by"": ""collateral""}"
APP_0026,58,117373,9,27878,24,148880,house,1,397,3482,161356,0.0296661071967144,0.1872514777001599,5.340411794246167,0.0098965122582273,2.3659123125399653,False,:47:29,9,0.0296661071967144,20,0,2,27878,24,5.0307907867239625e-82,denied,credit_score_vs_dti,Score=0.000 with DTI=0.03 and CS=397,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 3482.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 108.33, ""secured_by"": ""collateral""}"
APP_0027,21,128244,13,48062,60,194308,house,0,349,46922,57122,0.3658806649823745,0.247349568725939,4.042861304148724,0.0062461661623154,1.4318105729407098,False,:47:29,13,0.3658806649823745,3,1,2,48062,60,7.997536656688374e-96,denied,credit_score_vs_dti,Score=0.000 with DTI=0.37 and CS=349,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 46922.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 1459.8, ""secured_by"": ""collateral""}"
APP_0028,54,41382,11,18587,24,151996,land,0,672,6899,101277,0.1667149968585335,0.1222861127924411,8.17754344434238,0.0187148599222136,2.1941574577771785,False,:47:29,11,0.1667149968585335,2,0,4,18587,24,0.9999999999999876,approved,credit_score_vs_dti,Score=1.000 with DTI=0.17 and CS=672,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 18587.0, ""term_months"": 24, ""apr"": 0.12, ""est_monthly"": 867.39}",
APP_0029,42,79229,5,86162,12,130305,car,0,842,29429,140633,0.371442274924581,0.6612332604274536,1.5123256191824526,0.0906254864515294,0.32202622569119,False,:47:29,5,0.371442274924581,7,0,0,86162,12,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.37 and CS=842,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 86162.0, ""term_months"": 12, ""apr"": 0.1, ""est_monthly"": 7898.18}",
APP_0030,52,40469,20,78792,60,74526,house,0,765,39536,173587,0.9769453161679068,1.0572417679735788,0.9458574474565824,0.0324495292687756,0.0,False,:47:29,20,0.9769453161679068,13,0,0,78792,60,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.98 and CS=765,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 78792.0, ""term_months"": 60, ""apr"": 0.1, ""est_monthly"": 1444.52}",
APP_0031,50,95910,7,81793,72,8904,car,0,621,12471,195419,0.1300281513919285,9.186096136566803,0.1088601714083098,0.0118445823050057,0.0,False,:47:29,7,0.1300281513919285,2,0,0,81793,72,0.959929723623893,approved,credit_score_vs_dti,Score=0.960 with DTI=0.13 and CS=621,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 81793.0, ""term_months"": 72, ""apr"": 0.1, ""est_monthly"": 1249.62}",
APP_0032,40,140945,8,23829,12,31782,land,1,322,13531,206229,0.0960019865905133,0.7497640173682981,1.3337529900540797,0.0140888289746674,0.3017120399784306,False,:47:29,8,0.0960019865905133,26,0,4,23829,12,3.2013510625493257e-108,denied,credit_score_vs_dti,Score=0.000 with DTI=0.10 and CS=322,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 13531.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 420.96, ""secured_by"": ""collateral""}"
APP_0033,34,35108,23,6384,36,65173,car,0,843,23808,254843,0.6781360373703806,0.0979546744817624,10.208803258143764,0.0050510804753447,0.8710076488284746,False,:47:29,23,0.6781360373703806,14,2,2,6384,36,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.68 and CS=843,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 6384.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 198.61}",
APP_0034,48,74697,28,91510,60,15861,deposit,1,547,44242,29162,0.5922861694579354,5.769497509614414,0.1733253196371962,0.0204180444548138,0.0,False,:47:29,28,0.5922861694579354,20,0,3,91510,60,1.0244408380995755e-22,denied,credit_score_vs_dti,Score=0.000 with DTI=0.59 and CS=547,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 44242.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 1376.42, ""secured_by"": ""unsecured""}"
APP_0035,27,146640,20,32446,60,105570,deposit,2,459,11180,115073,0.0762411347517725,0.3073411006914814,3.253713863033864,0.0036877159482927,1.91954939648797,False,:47:29,20,0.0762411347517725,6,1,0,32446,60,3.1320598561166798e-58,denied,credit_score_vs_dti,Score=0.000 with DTI=0.08 and CS=459,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,
APP_0036,46,62618,27,67345,72,157249,land,0,790,33172,10309,0.5297518285476935,0.4282698141164622,2.334976612963066,0.0149373538313139,0.6277703111774852,False,:47:29,27,0.5297518285476935,9,0,0,67345,72,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.53 and CS=790,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 67345.0, ""term_months"": 72, ""apr"": 0.1, ""est_monthly"": 1028.88}",
APP_0037,25,41527,25,91396,36,192944,deposit,0,710,22629,12738,0.5449225804897887,0.473691848411972,2.1110770712065943,0.0611355931732895,0.5056260864416674,False,:47:29,25,0.5449225804897887,3,0,1,91396,36,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.54 and CS=710,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 91396.0, ""term_months"": 36, ""apr"": 0.1, ""est_monthly"": 2792.66}",
APP_0038,49,86073,14,8435,36,102022,car,0,712,5592,71560,0.0649681084660687,0.0826782458685373,12.095080023709295,0.0027221725227312,2.5731752847322964,False,:47:29,14,0.0649681084660687,22,0,2,8435,36,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.06 and CS=712,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 8435.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 262.42}",
APP_0039,48,88546,23,5519,60,176000,house,1,452,35543,183461,0.4014071781898629,0.0313579545454543,31.88983511505129,0.0010388197471574,1.7394665259377384,False,:47:29,23,0.4014071781898629,23,0,1,5519,60,1.6405045910972334e-65,denied,credit_score_vs_dti,Score=0.000 with DTI=0.40 and CS=452,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 35543.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 1105.78, ""secured_by"": ""collateral""}"
APP_0040,24,107858,9,5515,12,197223,house,0,845,41626,269408,0.3859333568210018,0.0279632700040054,35.761196736167584,0.0042610036649579,1.7906859955059915,False,:47:29,9,0.3859333568210018,6,0,0,5515,12,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.39 and CS=845,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 5515.0, ""term_months"": 12, ""apr"": 0.12, ""est_monthly"": 514.73}",
APP_0041,54,64217,13,19850,24,173087,deposit,0,549,28781,234326,0.4481835028107752,0.1146822118356658,8.719748110830794,0.0128795075026684,1.4655988822924648,False,:47:29,13,0.4481835028107752,21,1,2,19850,24,1.3428676705791675e-31,denied,credit_score_vs_dti,Score=0.000 with DTI=0.45 and CS=549,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 28781.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 895.41, ""secured_by"": ""collateral""}"
APP_0042,39,144452,16,9907,48,97274,deposit,0,592,8817,197424,0.0610375764959982,0.1018463309825842,9.818714040576378,0.001428819492489,2.529997637218811,False,:47:29,16,0.0610375764959982,2,1,3,9907,48,2.3834678268279548e-14,denied,credit_score_vs_dti,Score=0.000 with DTI=0.06 and CS=592,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 8817.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 274.31, ""secured_by"": ""collateral""}"
APP_0043,55,90127,28,82898,60,70449,land,1,713,7786,235667,0.0863892063421606,1.1767093926102403,0.8498274988540031,0.0153298493604612,0.0,False,:47:29,28,0.0863892063421606,11,0,1,82898,60,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.09 and CS=713,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 82898.0, ""term_months"": 60, ""apr"": 0.1, ""est_monthly"": 1519.8}",
APP_0044,22,60805,25,62562,12,195760,house,0,662,21174,59868,0.3482279417810978,0.3195852063751516,3.12905597647129,0.0857413041619185,1.330426051450371,False,:47:29,25,0.3482279417810978,4,0,1,62562,12,0.9999999999999971,approved,credit_score_vs_dti,Score=1.000 with DTI=0.35 and CS=662,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 62562.0, ""term_months"": 12, ""apr"": 0.1, ""est_monthly"": 5734.85}",
APP_0045,28,145035,14,98104,48,54447,car,0,394,25320,253552,0.1745785500051699,1.8018256285929104,0.5549926608497048,0.0140920007811268,0.0,False,:47:29,14,0.1745785500051699,22,0,3,98104,48,5.484733958493043e-78,denied,credit_score_vs_dti,Score=0.000 with DTI=0.17 and CS=394,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 25320.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 787.73, ""secured_by"": ""collateral""}"
APP_0046,42,140601,19,81140,36,87022,house,0,466,27609,268176,0.196364179486631,0.9324078968536584,1.0724919891545344,0.0160303901737986,0.0582571591848697,False,:47:29,19,0.196364179486631,10,0,3,81140,36,2.0263033181185036e-54,denied,credit_score_vs_dti,Score=0.000 with DTI=0.20 and CS=466,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 27609.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 858.95, ""secured_by"": ""collateral""}"
APP_0047,29,87395,6,96502,48,22213,house,2,498,12182,37565,0.1393901252932073,4.344392923062876,0.2301817578910257,0.0230042717923385,0.0,False,:47:29,6,0.1393901252932073,14,0,1,96502,48,1.8921745705521313e-39,denied,credit_score_vs_dti,Score=0.000 with DTI=0.14 and CS=498,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 12182.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 379.0, ""secured_by"": ""collateral""}"
APP_0048,35,28107,24,27662,72,160386,house,0,821,25038,146287,0.8908101184757928,0.1724714127168196,5.798062323765245,0.0136689950702349,0.271073245210035,False,:47:29,24,0.8908101184757928,13,0,4,27662,72,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.89 and CS=821,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 27662.0, ""term_months"": 72, ""apr"": 0.1, ""est_monthly"": 422.61}",
APP_0049,50,99617,16,32340,12,132768,land,0,692,14753,250710,0.1480972123231963,0.2435827910339822,4.105380333951636,0.0270536153445234,1.933181786894573,False,:47:29,16,0.1480972123231963,14,2,3,32340,12,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.15 and CS=692,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 32340.0, ""term_months"": 12, ""apr"": 0.1, ""est_monthly"": 2964.5}",
APP_0050,27,94399,15,85693,72,24285,house,1,501,34308,148066,0.3634360533480189,3.5286390776197845,0.2833953765184988,0.0126079784270915,0.0,False,:47:29,15,0.3634360533480189,7,0,0,85693,72,1.0360764827408277e-40,denied,credit_score_vs_dti,Score=0.000 with DTI=0.36 and CS=501,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,
APP_0051,50,43526,22,28263,36,50610,deposit,1,704,39823,253737,0.9149244129945112,0.5584469472436168,1.7906803948624777,0.0180371119172795,0.0672675987266617,False,:47:29,22,0.9149244129945112,16,0,1,28263,36,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.91 and CS=704,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 28263.0, ""term_months"": 36, ""apr"": 0.1, ""est_monthly"": 863.59}",
APP_0052,25,104246,18,10437,60,114648,car,0,706,32634,281307,0.3130479826564059,0.0910351685158041,10.984765737279774,0.0016686491567743,1.873245674047345,False,:47:29,18,0.3130479826564059,24,0,4,10437,60,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.31 and CS=706,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 10437.0, ""term_months"": 60, ""apr"": 0.12, ""est_monthly"": 194.82}",
APP_0053,28,130099,2,68567,36,111759,car,0,516,62,147652,0.0004765601580334,0.6135255326192913,1.6299240159260049,0.0146399195138776,0.6296238192374495,False,:47:29,2,0.0004765601580334,14,0,2,68567,36,2.416629599981098e-36,denied,credit_score_vs_dti,Score=0.000 with DTI=0.00 and CS=516,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 62.0, ""term_months"": 36, ""apr"": 0.12, ""est_monthly"": 1.93, ""secured_by"": ""collateral""}"
APP_0054,46,38237,8,81091,24,161995,land,1,521,49602,27251,1.2972252007217802,0.5005771783079694,1.9976939487735752,0.0883644550180661,0.0,False,:47:29,8,1.2972252007217802,5,1,1,81091,24,2.8007433568566995e-34,denied,credit_score_vs_dti,Score=0.000 with DTI=1.30 and CS=521,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}",,"{""type"": ""consolidation"", ""consolidate_amount"": 49602.0, ""term_months"": 48, ""apr"": 0.14, ""est_monthly"": 1178.05, ""secured_by"": ""collateral""}"
APP_0055,55,115415,5,96978,60,59090,deposit,1,791,1188,108615,0.0102932894337823,1.641191402944633,0.6093134525356203,0.0140042455484386,0.0,False,:47:29,5,0.0102932894337823,0,0,3,96978,60,1.0,approved,credit_score_vs_dti,Score=1.000 with DTI=0.01 and CS=791,"{""ndi_value_ok"": true, ""ndi_ratio_ok"": true}","{""type"": ""standard"", ""amount"": 96978.0, ""term_months"": 60, ""apr"": 0.1, ""est_monthly"": 1777.93}",
