application_id,top_feature,value,explanation
APP_0133,income,5628.783930284045,Top factor: income
APP_0134,income,4889.5849907226275,Top factor: income
APP_0135,loan_amount,2536.095454437895,Top factor: loan_amount
APP_0136,income,4372.20193977064,Top factor: income
APP_0137,income,4669.816633392668,Top factor: income
APP_0138,income,2678.0103228603507,Top factor: income
APP_0139,income,4708.438693997605,Top factor: income
APP_0140,income,5512.074647354159,Top factor: income
APP_0141,income,5104.334889034273,Top factor: income
APP_0142,income,4830.4073219786815,Top factor: income
APP_0143,income,4187.883976946044,Top factor: income
APP_0144,loan_amount,3413.8128836805968,Top factor: loan_amount
APP_0145,income,4994.450710369294,Top factor: income
APP_0146,income,2831.374430459993,Top factor: income
APP_0147,income,3674.4755455365607,Top factor: income
APP_0148,loan_amount,3125.1659415884596,Top factor: loan_amount
APP_0149,loan_amount,2822.7395728963093,Top factor: loan_amount
APP_0150,loan_amount,3442.493318115508,Top factor: loan_amount
APP_0151,income,5827.916384130701,Top factor: income
APP_0152,loan_amount,2121.19051047587,Top factor: loan_amount
APP_0153,loan_amount,1839.8739028831583,Top factor: loan_amount
APP_0154,income,5701.571659885655,Top factor: income
APP_0155,income,3788.976706498388,Top factor: income
APP_0156,income,3201.295081617874,Top factor: income
APP_0157,income,4704.745108160127,Top factor: income
APP_0158,loan_amount,3435.8840001242224,Top factor: loan_amount
APP_0159,loan_amount,1662.343615989965,Top factor: loan_amount
APP_0160,income,4665.560980145139,Top factor: income
APP_0161,loan_amount,2418.4896506656896,Top factor: loan_amount
APP_0162,income,3778.8594931174694,Top factor: income
APP_0163,income,5766.530593418697,Top factor: income
APP_0164,income,5701.651955229948,Top factor: income
APP_0165,income,2814.2313744534363,Top factor: income
APP_0166,income,4919.575301816065,Top factor: income
APP_0167,income,4078.361127330383,Top factor: income
APP_0168,income,3409.3804663532,Top factor: income
APP_0169,loan_amount,3998.7976106183664,Top factor: loan_amount
APP_0170,loan_amount,3691.083787533188,Top factor: loan_amount
APP_0171,income,4275.285459208982,Top factor: income
APP_0172,income,5955.02391414653,Top factor: income
APP_0173,loan_amount,1690.062695080689,Top factor: loan_amount
APP_0174,income,4605.74094864685,Top factor: income
APP_0175,income,5250.99433538545,Top factor: income
APP_0176,income,5777.209874209667,Top factor: income
APP_0177,income,3130.514735623589,Top factor: income
APP_0178,income,1598.2386804801467,Top factor: income
APP_0179,income,2363.4934592646446,Top factor: income
APP_0180,income,5272.031715590217,Top factor: income
APP_0181,income,5409.53749269199,Top factor: income
APP_0182,income,4200.811527377218,Top factor: income
APP_0183,loan_amount,2828.9883826335245,Top factor: loan_amount
APP_0184,loan_amount,1905.846913377989,Top factor: loan_amount
APP_0185,income,3403.3583155312244,Top factor: income
APP_0186,income,3955.8304319392555,Top factor: income
APP_0187,income,1166.169432839479,Top factor: income
APP_0188,income,4446.836462290989,Top factor: income
APP_0189,income,3736.2628129700292,Top factor: income
APP_0190,income,1065.398775751756,Top factor: income
APP_0191,loan_amount,1781.4715657238,Top factor: loan_amount
APP_0192,income,3283.637957190352,Top factor: income
APP_0193,income,4629.949994951191,Top factor: income
APP_0194,income,5145.887729705904,Top factor: income
APP_0195,income,3168.1331044248623,Top factor: income
APP_0196,loan_amount,2612.002470155991,Top factor: loan_amount
APP_0197,income,5863.085744931038,Top factor: income
APP_0198,loan_amount,3936.3896261915625,Top factor: loan_amount
APP_0199,loan_amount,3255.0690824717235,Top factor: loan_amount
APP_0200,income,3223.4164489705972,Top factor: income
