decision,score,income,loan_amount,human_decision
approved,0.9971734555183848,143607.0,83581.0,approved
approved,0.9002994457103038,108855.0,72085.0,approved
approved,0.9984602632135088,139543.0,86372.0,approved
approved,0.9906704532070728,131773.0,44444.0,approved
denied,0.4316952760263205,85113.0,40364.0,approved
approved,0.9690374749846884,121286.0,72371.0,approved
denied,0.004575102228284,66045.0,19593.0,approved
denied,0.0982084734517933,82562.0,27745.0,approved
denied,0.3947251026606396,91929.0,62079.0,approved
approved,0.9987765353787698,145061.0,68503.0,approved
approved,0.9912495613155048,131070.0,16368.0,approved
denied,0.0932384554545934,86156.0,53289.0,approved
approved,0.7259982788451368,106573.0,39667.0,approved
denied,0.0011025982525433,50294.0,52665.0,approved
approved,0.9875100099860746,125548.0,96050.0,approved
denied,0.4599342397729836,94129.0,12277.0,approved
denied,0.1185749262693123,91590.0,99569.0,approved
approved,0.9723486877903322,120785.0,47709.0,approved
approved,0.7373863566004759,104114.0,78349.0,approved
denied,4.616275386990282e-05,34058.0,45324.0,approved
denied,0.0141716145528796,61019.0,34541.0,approved
denied,0.0003810666550094,47089.0,78206.0,approved
approved,0.9442642621460738,116861.0,70328.0,approved
denied,3.621675190475896e-05,29393.0,18685.0,approved
denied,0.0006156414946469,50300.0,72013.0,approved
approved,0.7527007503795062,99680.0,76542.0,approved
approved,0.9374418421867264,111849.0,41844.0,approved
denied,0.1455810593693196,87913.0,92936.0,approved
approved,0.989977841111958,132589.0,65884.0,approved
approved,0.9978897678960492,139867.0,36694.0,approved
denied,0.0010934582024648,41512.0,6019.0,approved
approved,0.9980595037359856,144063.0,69121.0,approved
approved,0.8460252588608338,101797.0,24860.0,approved
approved,0.8365033082762443,104527.0,76870.0,approved
denied,0.00055322913296,36886.0,54883.0,approved
approved,0.7323082446391361,102733.0,49339.0,approved
approved,0.921939392623917,115714.0,20556.0,approved
approved,0.6074757071500564,97598.0,72593.0,approved
denied,0.0004751502658954,35561.0,20761.0,approved
approved,0.539936927893045,90403.0,44686.0,approved
approved,0.9985313003285214,141992.0,84448.0,approved
approved,0.9587126244112396,115427.0,92434.0,approved
denied,2.2962215382406776e-05,42175.0,98967.0,approved
approved,0.9995155060297763,144992.0,96011.0,approved
approved,0.9984185460098562,144860.0,57817.0,approved
denied,0.0008211924195134,46174.0,24045.0,approved
approved,0.9654985310510976,125110.0,84711.0,approved
denied,0.114634782001198,75839.0,81154.0,approved
approved,0.7296375899957603,99210.0,99080.0,approved
denied,0.0406207987027085,80648.0,66840.0,approved
approved,0.9767409807158238,122828.0,18451.0,approved
approved,0.9995348892520556,149582.0,52775.0,approved
approved,0.9785846496439112,124389.0,47583.0,approved
approved,0.9982497445361715,141421.0,85079.0,approved
approved,0.9982065934637464,143253.0,42294.0,approved
denied,6.420742706011589e-05,36263.0,36216.0,approved
denied,0.0075748209547079,56672.0,12604.0,approved
approved,0.9531459250913812,115232.0,84368.0,approved
approved,0.53868011241332,98759.0,76756.0,approved
denied,0.0015006758439551,31268.0,8916.0,approved
denied,6.310422262024197e-07,36881.0,46209.0,approved
denied,0.308393683072769,90068.0,50573.0,approved
approved,0.9096801829241232,102020.0,49586.0,approved
denied,0.0001283680354927,45964.0,92298.0,approved
denied,0.0011646318389875,46411.0,19313.0,approved
denied,0.0015310474715295,41167.0,34102.0,approved
approved,0.69028025397455,95618.0,22188.0,approved
denied,6.424054278255156e-06,25981.0,28188.0,approved
approved,0.6566793395194682,96553.0,91174.0,approved
denied,0.2362690524943237,84491.0,94368.0,approved
denied,0.2286753162511204,83248.0,9241.0,approved
approved,0.9166506636253398,109909.0,65048.0,approved
denied,0.3420693559590378,90328.0,27120.0,approved
approved,0.8716969166971209,115968.0,23293.0,approved
approved,0.955560522160522,120490.0,32745.0,approved
approved,0.9967258483057758,140014.0,23466.0,approved
approved,0.9855523434876456,124905.0,51568.0,approved
denied,0.2977574687012406,89713.0,99583.0,approved
denied,0.3273548810868096,86519.0,60712.0,approved
denied,0.00723103448331,54463.0,73708.0,approved
denied,0.4790137210523224,99949.0,51862.0,approved
denied,0.0014201996600154,42391.0,6321.0,approved
approved,0.99929714269807,141404.0,12990.0,approved
approved,0.996617834306088,130630.0,30542.0,approved
denied,0.0002149769804207,39966.0,28148.0,approved
approved,0.9810134468993972,123244.0,84855.0,approved
denied,5.28569160686364e-05,39637.0,85140.0,approved
approved,0.9595507483475448,115153.0,86141.0,approved
denied,2.023257487748913e-07,35963.0,65570.0,approved
denied,0.447949165988356,86024.0,57836.0,approved
approved,0.8417754359718623,107232.0,66669.0,approved
approved,0.9378951400890678,116101.0,43646.0,approved
denied,0.0410539262103461,77326.0,68669.0,approved
approved,0.997310855112522,140202.0,80472.0,approved
approved,0.9834979352173132,121790.0,77475.0,approved
denied,0.0003522589293618,51033.0,63313.0,approved
approved,0.7146786024603439,108903.0,10520.0,approved
approved,0.9724920988188478,116316.0,73870.0,approved
denied,0.0268307344976012,66704.0,39827.0,approved
approved,0.9642454805803032,117278.0,75648.0,approved
approved,0.9975567538951456,137295.0,56255.0,approved
approved,0.9915116389881607,127139.0,88712.0,approved
approved,0.9756156833389072,120316.0,37153.0,approved
denied,0.4299889315816138,104312.0,93482.0,approved
denied,0.004328538880842,58816.0,85225.0,approved
approved,0.9875872629034892,124402.0,36455.0,approved
denied,0.0338986189672628,70524.0,50844.0,approved
denied,0.1966969921419939,91524.0,55478.0,approved
denied,0.0074134371429801,64304.0,78019.0,approved
denied,0.0124091029656915,64127.0,70469.0,approved
denied,0.0015472361042687,44701.0,85941.0,approved
approved,0.9989296366653796,145162.0,40137.0,approved
denied,0.000526168278777,43472.0,52955.0,approved
denied,0.0002121476371657,35782.0,45932.0,approved
approved,0.9982481059525236,142015.0,91407.0,approved
denied,0.2766576889652367,94376.0,33973.0,approved
denied,0.2724035354787378,79738.0,60776.0,approved
approved,0.946289215157184,117186.0,16415.0,approved
denied,0.0029384664017749,72914.0,85776.0,approved
denied,0.0002661227498172,40990.0,41500.0,approved
approved,0.956589270332138,116210.0,37356.0,approved
denied,0.0001251823313922,46999.0,60377.0,approved
denied,0.4875073585800569,94124.0,52387.0,approved
approved,0.998461223717222,143633.0,85557.0,approved
approved,0.998787888322336,142017.0,55484.0,approved
denied,0.0216221702544537,70097.0,54114.0,approved
approved,0.9915999681059467,122537.0,14973.0,approved
approved,0.8280978943995482,101584.0,7084.0,approved
denied,0.1871106170846618,84921.0,42862.0,approved
denied,0.0002520229419957,42491.0,99829.0,approved
denied,0.0151886977718093,72044.0,92147.0,approved
approved,0.8216623017424944,106489.0,64753.0,approved
approved,0.9990751379949108,148328.0,64929.0,approved
denied,3.883301256179735e-07,25611.0,42192.0,approved
approved,0.9648537599554032,114720.0,21863.0,approved
approved,0.9859436378097988,130792.0,5811.0,approved
approved,0.9978441916755808,143899.0,37191.0,approved
denied,0.0696775942679375,77975.0,35064.0,approved
denied,0.0002083962786741,39809.0,23202.0,approved
denied,0.000820276063315,58870.0,29620.0,approved
approved,0.9935473485669122,131316.0,7358.0,approved
approved,0.996422738421214,134741.0,62756.0,approved
approved,0.7737270291511028,104634.0,93108.0,approved
denied,0.0003396043548558,40342.0,70625.0,approved
denied,7.059347682204613e-05,40240.0,47579.0,approved
denied,0.3499510916510787,84771.0,44925.0,approved
approved,0.6643740564116222,98532.0,34215.0,approved
denied,3.268819146242648e-05,29047.0,18528.0,approved
approved,0.9525674912934672,110762.0,61855.0,approved
denied,0.1935241928230688,93063.0,58819.0,approved
denied,1.0583336337142336e-05,26537.0,5694.0,approved
denied,0.0004204417948962,36959.0,44474.0,approved
denied,0.1977592549490453,81789.0,31412.0,approved
approved,0.8896633116896598,115323.0,21176.0,approved
approved,0.9938302092202124,128174.0,71788.0,approved
denied,0.1482924516155272,78912.0,54953.0,approved
denied,0.0177252408044176,61919.0,65208.0,approved
approved,0.9982617464024768,146038.0,72780.0,approved
denied,0.1142798860221843,82318.0,98271.0,approved
denied,0.0004364713816197,64423.0,81262.0,approved
denied,0.1112066252622873,80289.0,63933.0,approved
